"","","","",""
"TABLE 1","","","",""
"","","","",""
"","Area","","Total Population",""
"State / District","( Sq .
km )","Total","Male","Female"
"Tamil Nadu","130058","72147030","36137975","36009055"
"Chennai","175","4646732","2335844","2310888"
"Kancheepuram","4483","3998252","2012958","1985294"
"Thiruvallur","3394","3728104","1876062","1852042"
"Cuddalore","3703","2605914","1311697","1294217"
"Villupuram","7194","3458873","1740819","1718054"
"Vellore","6075","3936331","1961688","1974643"
"Tiruvannamalai","6188","2464875","1235889","1228986"
"Salem","5237","3482056","1781571","1700485"
"Namakkal","3420","1726601","869280","857321"
"Dharmapuri","4497","1506843","774303","732540"
"Krishnagiri","5129","1879809","960232","919577"
"Erode","5760","2251744","1129868","1121876"
"Coimbatore","4732","3458045","1729297","1728748"
"Tiruppur","5187","2479052","1246159","1232893"
"The Nilgiris","2565","735394","360143","375251"
"Tiruchirappalli","4509","2722290","1352284","1370006"
"Karur","2904","1064493","528184","536309"
"Perambalur","1756","565223","282157","283066"
"Ariyalur","1940","754894","374703","380191"
"Thanjavur","3411","2405890","1182416","1223474"
"Nagapattinam","2569","1616450","798127","818323"
"Thiruvarur","2274","1264277","626693","637584"
"Pudukkottai","4644","1618345","803188","815157"
"Madurai","3710","3038252","1526475","1511777"
"Theni","2868","1245899","625683","620216"
"Dindigul","6036","2159775","1080938","1078837"
"Ramanathapuram","4104","1353445","682658","670787"
"Virudhunagar","4241","1942288","967709","974579"
"Sivagangai","4233","1339101","668672","670429"
